7:302,58,616,29,8,518,650,76,138,542
18:17,518,8,654,650,58,616,564,32,364
19:17,302,654,76,616,58,8,866,84,29
36:17,654,616,58,84,8,518,29,76,542
37:17,616,8,654,302,542,15,58,61,84
41:17,302,616,654,58,542,101,564,15,76
42:17,302,654,58,518,84,76,542,564,15
43:238,866,361,2139,500,262,999,358,901,190
44:302,616,84,8,76,542,518,15,564,861
45:347,4858,23970,19829,31315,11751,7056,15580,53818,74038
46:302,616,58,8,76,542,650,1102,354,15
59:654,616,58,76,29,542,1102,564,15,650
60:302,58,616,29,84,8,76,650,518,1102
69:302,654,58,564,650,76,29,61,32,101
70:1276,931,4697,2739,1825,230,219,229,4194,913
94:17,616,654,302,58,564,84,32,76,508
106:84,8,29,518,15,101,1102,6,736,61
115:58,8,518,29,15,354,289,138,861,61
116:719,1326,984,5480,1400,463,2153,1682,1528,574
142:58,8,84,29,61,32,1102,6,861,364
143:394,3231,483,1305,20440,10181,211,1549,1095,110799
148:986,731,3137,1884,754,288,2241,653,8511,6108
150:17,302,654,650,8,29,84,564,542,518
156:302,616,58,8,84,29,542,1102,76,650
161:616,84,29,76,650,542,564,101,15,138
171:302,84,8,650,76,518,15,1102,354,6
172:654,58,8,84,542,76,518,564,861,1102
174:41159,74620,3897,230,931,11754,13657,28033,229,5103
177:17,654,58,616,29,84,8,542,518,650
196:616,29,76,650,542,354,15,564,101,289
202:302,58,8,518,542,15,354,1102,138,32
211:1131,22,815,3661,974,3842,12160,1957,7794,7667
217:17,616,654,302,518,8,58,15,84,542
220:7478,17925,25232,1812,2668,51770,190,10100,26450,32562
223:302,654,616,58,8,84,518,29,76,650
224:4797,353,1951,17,518,245,8,654,84,601
225:302,654,616,58,84,8,518,76,542,29
228:17,302,654,616,58,650,76,29,8,84
229:58,84,518,15,1102,101,736,6,61,32
231:302,654,616,58,84,8,76,518,29,354
232:2476,50621,87726,8217,123227,99009,55056,60364,60930,107429
238:1744,710,3618,4513,2917,4421,6315,1256,3093,8928
241:616,58,84,29,518,650,76,542,1102,564
245:81,3939,780,3137,5767,12706,40012,8511,550,62162
249:17,302,654,616,58,84,8,518,15,29
250:302,654,616,58,8,84,518,542,29,564
253:4825,3307,4444,6713,6379,605,7422,10138,11235,11973
257:17,84,542,15,1102,861,354,6,101,289
272:654,58,616,1102,8,29,354,518,650,76
273:17,302,654,76,650,15,101,354,736,289
288:17,616,58,84,29,76,650,15,1102,101
290:17,302,654,616,138,84,76,58,8,354
291:17,84,518,302,616,654,1102,58,101,650
292:654,616,58,76,542,564,289,138,61,70
294:17,302,8,29,76,1102,542,15,564,354
328:302,654,84,58,616,8,29,1102,354,76
331:17,302,654,616,58,8,542,84,15,650
345:77581,385,39936,5726,62840,11281,45975,1754,805,16881
361:58,616,29,8,518,76,650,354,138,736
376:17,302,58,616,29,84,8,650,542,76
384:17,616,302,654,8,542,518,650,84,76
401:616,58,29,1102,650,542,354,15,138,70
402:302,654,8,84,542,518,15,564,1102,861
410:984,1326,463,8860,2153,5738,760,574,801,1460
448:302,616,654,58,8,518,84,76,542,15
449:17,616,302,654,58,8,518,70,84,15
450:302,654,84,15,76,29,1102,354,245,138
452:6304,25560,42693,7264,1335,36183,7556,43765,76693,81553
476:17,245,302,616,70,654,1023,518,1405,15
488:17,302,616,58,518,542,76,15,29,564
490:17,302,29,15,76,650,101,289,61,354
494:17,616,654,58,8,84,542,29,518,15
500:17,302,616,654,58,76,8,650,84,29
514:719,984,1326,1400,5480,1460,661,1205,574,5738
525:302,654,616,84,58,518,70,564,650,29
535:17,29,8,1102,518,650,76,542,354,6
536:302,654,616,58,84,8,76,518,29,542
538:302,654,616,58,1102,29,76,101,354,650
539:17,654,58,8,84,29,518,542,564,15
564:84,8,76,650,518,1102,15,564,289,736
582:616,84,29,76,518,1102,15,564,354,138
585:17,302,654,616,58,84,8,29,76,518
590:654,8,29,518,76,650,354,542,101,736
601:75023,69110,118676,27912,121660,121234,48912,105155,67228,31717
618:17,302,616,654,58,76,542,8,650,564
624:7006,1589,11535,1991,3864,3915,3107,7843,6552,1542
627:19087,10648,752,30281,719,42376,11464,15333,4453,9024
628:22501,3929,4027,52860,121692,4148,39891,3250,5985,18420
632:931,1276,229,219,230,4697,1825,2739,1446,32166
633:302,654,58,8,84,518,650,15,76,564
634:226,780,986,5767,3137,140,3423,731,1884,1749
646:358,500,262,238,1913,826,409,901,1200,96
666:10981,911,11590,1337,18920,25145,17908,3034,35817,4040
667:17,302,616,654,58,8,76,564,518,542
669:11470,1803,2318,29969,12962,760,39616,2337,721,481
678:17,302,654,58,8,84,518,542,76,564
680:17,654,616,58,8,29,650,84,518,15
681:1744,710,4513,13,16036,5122,1340,10316,6315,3093
682:1528,2318,7711,9783,14754,9531,6755,18240,6244,30736
683:20249,25771,1825,7620,5287,71448,50641,7146,112536,669
684:168,719,984,5480,8860,1460,1326,463,661,5738
715:2543,12861,8392,11855,8867,311,8427,17486,19378,1011
716:17,616,302,654,58,542,861,650,8,15
741:168,984,8860,1400,463,574,5480,8733,1326,661
750:8,76,15,564,61,354,1102,6,32,138
754:17,302,616,654,58,84,76,542,29,61
756:616,84,8,650,1102,76,542,354,15,289
757:154,11223,6545,3112,84976,2312,14762,31567,26529,53935
758:17,302,616,654,58,76,8,542,84,518
763:17,84,29,8,650,542,518,564,15,354
773:17,302,654,616,8,58,84,650,101,76
774:17,302,8,518,650,84,76,564,61,289
775:58,518,542,76,15,1102,354,564,101,6
782:302,654,616,58,84,8,518,542,76,29
784:17,302,518,542,84,76,29,650,101,508
793:654,616,8,29,76,518,354,542,736,564
803:17,302,84,654,1119,70,616,354,8,138
813:17,616,302,654,518,84,542,650,29,564
815:302,654,58,8,84,76,542,29,518,15
817:58,616,29,1102,8,76,650,518,138,736
818:984,5480,1326,463,8860,2318,1528,5738,760,574
823:12050,82284,46153,49657,21145,85090,71891,63363,10513,31149
825:654,616,58,8,518,29,542,650,70,1102
833:302,58,8,84,76,564,508,861,354,6
835:302,654,616,58,84,518,542,76,101,650
838:219,862,2215,6344,9412,59120,12665,46541,11754,31157
844:58,29,8,76,518,354,542,736,15,6
850:866,254,358,2139,500,238,2265,1200,709,262
856:6,138,70,364,162,486,1405,1535,1140,394
857:302,84,8,518,650,76,542,1102,15,354
874:302,58,518,84,76,29,508,101,787,70
891:361,254,358,2139,500,238,1832,262,1200,7194
899:17,616,302,654,8,58,518,542,84,76
900:17,302,654,616,58,29,8,542,650,101
911:6545,154,11223,347,6901,1787,14885,2312,14762,4425
918:17,302,654,616,58,8,84,518,542,650
925:17,302,654,616,58,84,564,8,76,518
926:302,58,84,8,542,518,76,650,354,1102
937:302,654,616,58,518,29,542,650,76,564
949:17,302,654,76,616,58,8,866,84,29
964:17,302,654,616,58,8,518,84,15,542
970:14636,2656,8,4300,9093,4613,84,50946,5010,656
977:17,518,29,650,15,354,61,736,554,285
981:1744,710,4513,3506,3618,1340,5122,8928,6315,1256
982:17,302,84,1119,654,70,354,8,245,616
984:17,654,616,58,84,8,29,650,76,542
992:17,508,616,302,76,245,654,8,564,58
993:654,616,58,84,29,76,518,1102,354,138
998:17,302,616,654,58,84,76,564,650,542
1000:17,58,8,84,542,518,29,101,70,1102
1007:17,654,29,8,84,542,518,564,15,6
1027:168,1400,661,1326,801,760,574,1528,8733,2318
1028:17,302,616,58,518,29,650,354,542,76
1044:17,302,654,84,616,58,8,518,29,650
1045:17,58,8,84,542,518,650,76,564,6
1049:2139,238,500,262,358,826,901,409,96,866
1068:5287,230,931,14955,1446,4194,4856,10536,2946,13016
1069:654,84,8,29,76,518,542,564,1102,101
1070:17,616,58,84,518,542,650,76,15,1102
1082:84,518,650,542,1102,101,15,138,6,285
1083:15141,53428,449,2076,16272,3582,61,394,23414,3304
1088:17,616,302,654,8,58,84,564,542,15
1094:616,58,29,736,70,6,61,508,32,787
1116:302,654,58,616,84,8,76,29,650,518
1121:17,654,1578,61,1086,101,99297,616,1348,29
1125:302,654,616,58,84,542,76,564,29,650
1127:17,616,302,654,58,8,542,518,15,84
1132:17,302,654,58,8,76,650,542,518,15
1133:8,76,518,650,15,354,1102,101,61,736
1140:302,616,58,29,8,542,84,76,518,15
1141:17,1382,302,787,327,8,70,508,84,654
1148:1131,22,814,3661,4481,370,1957,17015,815,3842
1153:17,654,616,58,518,1102,29,76,650,542
1163:17,302,654,76,616,58,8,866,84,29
1166:17,616,518,8,302,654,15,542,58,32
1172:17,616,302,654,58,8,76,518,15,84
1192:17,302,616,58,8,29,542,518,650,76
1204:17,302,654,616,58,61,15,542,29,84
1208:17,654,302,58,616,650,542,29,8,15
1209:719,168,1326,1460,5480,2068,5738,984,1205,8860
1234:168,719,984,1400,574,5480,8860,661,1326,463
1236:17,302,616,58,654,8,76,542,518,84
1245:302,654,84,616,58,8,76,518,29,354
1263:17,302,58,84,8,542,650,518,76,564
1267:302,654,616,58,84,8,518,76,542,29
1269:4755,2880,1712,6434,5624,8848,7831,12990,11725,7859
1288:67016,692,654,398,17,138,518,542,73561,8213
1295:616,518,542,76,15,101,564,6,861,736
1296:17,654,58,29,84,650,8,76,542,518
1302:17,302,616,654,8,76,542,650,29,518
1305:17,302,58,84,29,8,518,650,542,76
1342:17,84,518,302,616,654,58,1102,101,650
1382:17,302,616,654,8,84,58,518,564,76
1389:75115,1305,4245,40853,61636,6836,8055,2455,2789,44085
1391:32,402,17,787,302,674,650,58,61,616
1397:81,226,140,986,1749,780,2967,2379,1884,7211
1402:302,616,58,84,8,650,518,76,354,1102
1405:92558,4697,96890,24722,17,302,654,76,616,58
1407:17,302,542,616,58,518,486,654,15,61
1408:17,302,616,654,84,518,58,564,650,1102
1409:616,8,354,542,138,564,101,15,70,6
1412:17,302,654,58,616,84,70,354,29,76
1413:542,15,101,6,289,736,861,32,285,322
1418:654,76,542,650,15,564,289,138,736,61
1419:4755,1712,6434,12990,7831,8848,5624,4568,11725,6266
1420:302,654,616,58,8,29,354,518,76,650
1427:17,8,84,518,29,15,564,61,354,1102
1430:17,302,58,654,8,76,542,518,84,650
1431:654,58,616,84,8,518,76,650,542,1102
1435:302,616,58,84,29,76,564,61,101,289
1437:358,409,262,2139,901,866,500,361,190,999
1441:6559,110510,98,99349,30328,11713,90179,29972,52711,36790
1447:17,616,302,654,8,518,58,84,542,70
1448:17,245,8,542,76,654,650,15,61,616
1457:17,302,616,654,58,542,70,15,518,650
1458:17,302,616,58,15,84,76,650,101,508
1469:302,616,58,84,76,518,542,1102,354,564
1477:17,302,616,654,518,84,58,76,542,245
1486:8783,4146,5357,10692,6117,12093,4425,8129,16658,45287
1490:17,302,654,616,58,76,8,542,29,84
1491:302,654,616,58,84,8,650,76,1102,518
1500:302,58,84,518,76,29,15,650,564,354
1503:654,616,58,8,650,76,542,354,15,101
1517:46908,11783,58542,7684,84230,19149,105561,44051,31108,41438
1518:17,616,302,8,654,518,58,542,84,508
1535:302,654,58,84,650,542,29,15,1102,101
1551:616,8,650,518,542,354,15,736,70,61
1552:10906,4194,15294,13016,5103,14955,77861,7048,2946,1276
1553:17,616,654,302,58,542,518,8,61,564
1559:302,654,616,29,84,8,650,76,518,15
1560:17,302,58,518,84,15,564,76,61,29
1561:17,616,58,542,518,84,15,76,29,61
1562:654,616,29,8,650,518,1102,542,564,138
1569:986,81,226,2967,3756,3599,780,731,140,3125
1570:17,654,302,616,84,8,58,518,542,564
1588:1119,84,245,53,17,542,224,15,899,32
1589:654,58,616,84,8,76,518,650,354,542
1591:69776,62108,17,302,654,76,616,58,8,866
1601:17,302,616,654,58,8,76,518,542,15
1602:17,616,302,654,8,518,58,15,84,564
1629:17,616,302,654,58,8,518,15,76,61
1634:8337,6901,347,1176,14966,3112,20836,9043,11887,9095
1642:302,654,58,8,518,542,76,1102,650,564
1653:17,616,654,302,58,8,84,542,101,564
1654:302,84,8,29,518,542,650,564,101,1102
1655:654,8,29,542,76,650,15,354,289,138
1668:616,29,84,8,650,76,518,15,564,354
1681:17,616,58,84,29,8,518,650,542,1102
1703:302,654,616,84,58,518,76,650,354,29
1721:15,17,245,302,61,654,58,616,542,4268
1727:17,302,654,616,58,650,29,8,76,84
1728:302,58,616,84,8,1102,354,76,650,518
1745:17,616,302,654,8,58,518,542,245,84
1746:17,302,616,654,58,542,8,518,650,29
1751:302,654,616,84,8,58,518,76,542,29
1756:302,654,8,616,58,1102,29,76,542,354
1758:17,616,302,654,58,8,76,542,650,518
1761:225,30210,805,98,93632,17446,87838,2328,12039,84712
1767:58,616,84,8,76,354,1102,518,70,138
1779:8635,37843,65741,1674,67185,103533,93097,56748,93631,17395
1780:9354,10404,120196,1675,35731,29453,14508,68717,12872,866
1783:17,302,58,8,29,84,76,542,518,650
1787:616,518,29,76,15,564,354,101,289,61
1788:780,731,140,2967,3137,1884,754,3599,288,2241
1794:17,616,654,302,58,15,8,518,564,84
1796:654,8,84,29,650,542,15,1102,138,61
1803:17,302,654,616,58,84,76,8,29,518
1820:2880,10041,1712,6434,7831,5624,8848,12990,4568,1206
1821:17,616,518,8,654,58,15,302,542,564
1822:17,302,616,654,58,8,518,84,29,61
1823:17,84,650,542,76,15,6,564,289,354
1840:616,542,650,564,354,736,61,70,861,322
1841:984,8860,463,5480,1400,1326,801,574,5738,2103
1842:17,302,58,616,84,29,8,518,542,76
1850:17,302,8,654,616,58,84,29,1102,542
1853:17,302,654,616,76,58,8,542,518,84
1854:17,302,654,8,542,84,650,76,564,101
1862:302,616,1102,650,542,564,15,736,138,70
1880:17,302,84,654,354,1119,616,8,76,138
1883:302,654,58,8,518,542,76,29,650,1102
1890:302,654,616,58,84,8,29,518,1102,76
1891:302,17,654,58,616,29,84,8,15,518
1893:302,616,654,58,84,76,15,29,61,101
1894:654,616,58,8,84,29,518,564,542,70
1911:29727,5466,8345,741,53100,17271,78658,4016,29000,22665
1912:17,302,654,616,58,8,76,650,84,138
1913:17,616,302,654,58,8,518,542,84,29
1930:2548,197,5111,8069,5627,7160,27094,465,13049,15772
1932:2139,866,361,358,262,238,5097,2292,1164,3484
1950:542,15,61,861,32,508,554,363,1196,162
1951:2121,17,542,564,1287,616,654,94,15,61
1952:17,616,84,76,8,542,1102,518,15,6
2005:302,518,542,29,76,650,15,564,1102,101
2017:23213,107733,11246,44039,58208,47586,123006,13894,101380,17
2025:236,17,10075,6766,8861,11621,364,616,6673,4203
2030:17,302,616,654,58,8,542,15,650,518
2034:6186,57937,9914,22904,28216,121163,88548,25636,19908,21620
2038:17,302,654,58,29,616,542,15,84,650
2046:10492,27296,91537,9289,3672,1495,17185,25662,7397,13667
2058:12597,17944,121818,48197,43327,1410,12495,1549,4268,285
2068:17,616,302,654,58,8,542,15,245,564
2070:302,84,654,616,58,1102,76,542,29,650
2071:302,616,58,518,76,650,70,101,354,61
2072:302,654,616,58,518,1102,29,354,76,650
2074:311,533,2543,7926,10180,11590,603,17316,1011,3034
2075:302,654,8,84,542,76,15,650,564,101
2076:17,302,654,76,616,58,8,866,84,29
2077:17,654,616,58,518,29,76,1102,650,564
2080:17,654,58,84,518,29,650,542,564,76
2085:17,302,616,654,58,8,542,518,76,84
2097:302,616,654,58,84,564,15,29,508,289
2112:7006,1991,1589,3864,3915,11535,3107,7843,2083,1455
2115:17,616,302,654,8,58,542,84,76,564
2116:17,302,654,616,8,58,84,542,650,15
2123:17,654,616,58,8,29,1102,76,518,650
2135:17,302,616,654,58,8,76,564,650,518
2141:81,2204,986,780,226,46823,140,30681,9121,653
2147:6059,17030,23833,42335,12462,35619,109031,728,10987,17
2154:719,1326,5480,8860,463,661,5738,1460,1528,2103
2160:17,302,8,84,29,518,76,650,15,564
2162:719,5480,1400,463,661,1528,5738,574,760,801
2170:17,302,58,542,8,15,650,29,564,518
2177:1326,29969,696,168,14080,13312,17917,2370,1682,21957
2184:58,616,84,8,542,650,518,1102,76,6
2185:17,302,616,654,58,8,542,76,564,518
2187:17,302,654,76,616,58,8,866,84,29
2211:8069,5111,197,27070,14793,13049,7160,15772,27094,26925
2223:719,1205,168,481,1460,1400,2318,2068,1682,4453
2243:17,616,654,302,8,58,518,245,15,84
2244:17,616,302,654,58,8,518,542,84,564
2247:302,654,616,58,84,518,650,29,564,1102
2250:49715,4103,7838,54210,32584,719,8733,17035,33176,19337
2253:226,986,5767,731,3137,2967,1884,754,3819,3599
2260:17,302,654,76,616,58,8,866,84,29
2261:302,654,616,58,76,542,29,1102,354,650
2262:17,302,654,76,616,58,8,866,84,29
2290:29,518,650,542,15,1102,6,138,61,285
2291:17,616,29,84,8,76,542,518,15,1102
2293:17,84,302,616,654,58,101,1102,542,76
2301:25764,97413,25557,108161,17,4032,429,4210,84,182
2302:16229,245,39395,33882,353,2714,763,2403,8,63084
2304:719,984,1326,5480,463,661,1400,1528,5738,574
2318:654,84,29,76,15,564,101,61,1102,289
2325:302,654,84,8,616,58,1102,29,354,76
2335:17,302,654,616,8,84,518,29,542,15
2343:34183,3517,230,15510,1825,17990,913,725,925,13732
2346:81,986,780,5767,1884,754,2967,3137,140,3599
2347:2186,100785,7728,322,875,64260,1148,5178,40416,15512
2348:17,302,654,616,58,8,84,76,542,650
2362:17,302,654,76,616,58,8,866,84,29
2363:17,302,616,29,84,8,650,542,76,518
2364:302,616,84,29,8,650,76,518,1102,354
2369:17,70,616,302,76,654,8,58,84,564
2373:17,84,302,616,654,58,76,1102,101,650
2381:17,302,654,616,58,29,8,84,542,518
2382:17,302,616,654,564,58,8,650,518,84
